Condition_1,Condition_2,Condition_3,Condition_4,Condition_5,Condition_6,EMG_Average
1.0,0.0,0.8,0.0,0.0017839904379116649,2.1585442712941046e-06,-1.355973281490826e-05
2.0,0.4,0.8,320.00000000000006,0.001625353261053706,2.3785563982587526e-05,-0.00039796908402104503
3.0,0.2,0.2,40.00000000000001,0.001184137977799031,3.694032673578651e-06,0.00022088342103362878
4.0,0.2,0.4,80.00000000000001,0.0020494248241249165,3.7866188513793735e-06,-0.0002613093145594241
5.0,1.2,0.4,480.0,0.0014549081916792308,0.0003296323795139354,6.897244074104887e-05
6.0,1.2,0.2,240.0,0.0017079321053089795,0.0013460160961206308,-0.0005784086316078084
7.0,0.0,0.2,0.0,0.0010885506456604073,2.205564714534742e-06,9.957802838207473e-05
8.0,0.8,0.1,80.00000000000001,0.0025100554891996922,9.218623094627053e-05,0.0008344181238295329
9.0,1.0,0.4,400.0,0.001571375121127346,0.0002215526817554138,0.0003489176486872271
10.0,0.2,0.1,20.000000000000004,0.0010316345401424403,9.179077215989751e-06,0.00035379750079343015
11.0,0.4,0.2,80.00000000000001,0.0011571845577357613,1.158092247358414e-05,-0.00020658730169173696
12.0,0.6,0.2,120.0,0.000784246518128677,0.0006953571334351605,-0.00033780713776232463
13.0,0.6,0.1,60.0,0.014016298363330659,2.2876841750423124e-05,-0.0010450872550010822
14.0,0.8,0.4,320.00000000000006,0.001823610153476532,0.00023632533280736924,-9.253734678248792e-05
15.0,0.8,0.2,160.00000000000003,0.004697107441704271,0.0009748650398587685,-0.0018282253028518117
16.0,1.2,0.8,960.0,0.00790922545351295,0.0006760285546143102,0.006234565529837085
17.0,0.8,0.8,640.0000000000001,0.001552026107643738,0.00012518912959077165,-0.002198288648252345
18.0,1.2,0.1,120.0,0.0006649311116800825,0.0011036896926783783,-0.0005964159677205412
19.0,0.0,0.1,0.0,0.0002709974042077085,2.2377843527062247e-06,0.00012035243092220921
20.0,1.0,0.8,800.0,0.0004425382174841064,0.00026455866316154057,1.080762413839005e-05
21.0,0.4,0.1,40.00000000000001,0.0002491390353015617,2.7836548199877686e-05,0.00017422596460670605
22.0,0.0,0.4,0.0,0.0003072791252016928,1.9722287199274156e-06,-8.269667495294198e-05
23.0,1.0,0.1,100.0,0.0003580408129859739,1.9314109847446824e-05,-7.070685469616074e-05
24.0,1.0,0.2,200.0,0.0003327883326867698,0.0011767447519727841,-8.425289961344e-05
25.0,0.6,0.4,240.0,0.00044491603566574906,0.000860344585353915,0.0001576571916558596
26.0,0.6,0.8,480.0,0.0004844150543147311,6.573235748812854e-05,0.00011838616851938546
27.0,0.2,0.8,160.00000000000003,0.00043410018052908797,2.210500404119532e-06,-0.0002332096764272135
28.0,0.4,0.4,160.00000000000003,0.00046428709483364796,0.0009880326033089926,0.00014672134096512015
1.0,1.0,0.2,200.0,0.0017303626380708848,0.0015589154492190792,-0.00010639740489491994
2.0,0.2,0.2,40.00000000000001,0.0024858896508939965,7.736612660308257e-06,-5.468659812957117e-05
3.0,0.0,0.4,0.0,0.0018719082095265082,3.228823807703361e-06,-0.000139767854896783
4.0,0.6,0.8,480.0,0.002706660652764355,0.0015156489653591378,-5.0782759807958476e-05
5.0,0.4,0.4,160.00000000000003,0.0033757946195588544,9.40721559356644e-05,-3.7055089992914064e-05
6.0,0.2,0.4,80.00000000000001,0.0022838747207546725,2.7465567684077e-05,-5.519206855050265e-05
7.0,1.2,0.8,960.0,0.001913431356646169,0.0036210435011105996,-1.1292148676257e-05
8.0,0.8,0.1,80.00000000000001,0.001924791787992357,0.0001332786853108369,-4.742375671334957e-05
9.0,0.6,0.2,120.0,0.001395867184968596,0.0001523173750437472,-6.338941931002497e-05
10.0,0.2,0.8,160.00000000000003,0.0018916914515334413,2.829452200079556e-05,-6.333373486570019e-05
11.0,0.2,0.1,20.000000000000004,0.0018896367594215097,1.0450804899757654e-05,-8.2265439785162e-05
12.0,1.0,0.1,100.0,0.0019594837528725158,0.0005121540331635323,-2.9137513062467164e-05
13.0,1.2,0.1,120.0,0.001882853990110997,0.0012821402342660412,-2.592424969332035e-05
14.0,1.2,0.4,480.0,0.0022809200253363494,0.0011637274028650166,-8.094743192247323e-05
15.0,1.2,0.2,240.0,0.001398504726431399,0.0016078206523611155,-4.4828283045782916e-05
16.0,0.8,0.4,320.00000000000006,0.001634218956509094,0.0013029790343679973,-0.000130908554605464
17.0,0.6,0.4,240.0,0.002243399315024969,0.0011747846398159657,-1.8060882977923996e-05
18.0,0.0,0.1,0.0,0.0026317224146257387,2.5393173626534436e-06,1.386790666738157e-05
19.0,1.0,0.4,400.0,0.003403743606525245,0.0015212425104364632,-4.321789659195796e-05
20.0,0.0,0.2,0.0,0.0024892119112451742,3.7691247539552164e-06,-5.326379504663025e-05
21.0,0.0,0.8,0.0,0.002478236770878282,4.91040556566968e-06,-5.93296356012467e-05
22.0,0.8,0.2,160.00000000000003,0.003877626015784241,0.0013541154441087363,-3.202724655493423e-05
23.0,1.0,0.8,800.0,0.0015561898504439632,0.0017265174071465067,-4.563306364098586e-05
24.0,0.6,0.1,60.0,0.0022357813618256585,1.4749456193257656e-05,-1.2881665128876273e-05
25.0,0.4,0.1,40.00000000000001,0.0016127273983859733,1.4317387741230755e-05,-8.291448732846485e-05
26.0,0.8,0.8,640.0000000000001,0.0014869178990875994,0.0014469726884518623,-5.615889621761842e-05
27.0,0.4,0.2,80.00000000000001,0.0020320952786398805,1.3681887963623658e-05,-2.9917356457144138e-05
28.0,0.4,0.8,320.00000000000006,0.0021814645461290484,0.00017920313458544648,-2.8028345498457047e-05
1.0,0.0,0.8,0.0,0.0016951004926551154,1.1529045807747506e-05,-0.0002505034678195173
2.0,0.4,0.8,320.00000000000006,0.0009297960624884739,9.599312881915407e-05,-4.199725277781046e-05
3.0,0.2,0.2,40.00000000000001,0.0030321312086335024,1.704737070645265e-05,-0.00014925183426246698
4.0,0.2,0.4,80.00000000000001,0.004070492152707956,8.764971789793638e-05,0.0012960786423615845
5.0,1.2,0.4,480.0,0.00181219969664245,0.0032598297847349677,0.00015401130100979043
6.0,1.2,0.2,240.0,0.004667415042277853,0.0010541538207102634,-0.00015193557122012623
7.0,0.0,0.2,0.0,0.004832751945375897,6.713590696060658e-06,-0.0004008461250428454
8.0,0.8,0.1,80.00000000000001,0.006077042242040483,4.593801508434818e-05,-0.0010509516411892996
9.0,1.0,0.4,400.0,0.0035504626487949135,0.0014206005956596626,-0.00048069946341997016
10.0,0.2,0.1,20.000000000000004,0.003501517322536661,2.2967707311400434e-05,0.0001187543591745774
11.0,0.4,0.2,80.00000000000001,0.003915824624168552,2.7047854629888817e-05,0.0005691117705857738
12.0,0.6,0.2,120.0,0.004289481040288665,0.00016992669899081,-0.00021972961958863273
13.0,0.6,0.1,60.0,0.002903523738100707,2.350565572225064e-05,-0.0004112876355749824
14.0,0.8,0.4,320.00000000000006,0.0046213199048539474,0.0010650114856048097,-0.0001686673578007095
15.0,0.8,0.2,160.00000000000003,0.0011507553291548527,0.0010159050118078174,-0.0003226533946636846
16.0,1.2,0.8,960.0,0.0015931044983212327,0.005180925475959135,-0.0010920840726380491
17.0,0.8,0.8,640.0000000000001,0.0036534250802153665,0.002680001091980765,-0.0007023369681854473
18.0,1.2,0.1,120.0,0.001888705568545044,0.0010252911773586803,-6.180736513228727e-05
19.0,0.0,0.1,0.0,0.001427736800180312,3.2998813838970823e-06,-0.00041939361098290625
20.0,1.0,0.8,800.0,0.000941469437636509,0.004640633751574743,-0.00018227045354209844
21.0,0.4,0.1,40.00000000000001,0.0017620253650445364,2.4406357798712516e-05,0.0002647776183107829
22.0,0.0,0.4,0.0,0.0014195476642552634,1.1561145029572105e-05,0.00041235188733421775
23.0,1.0,0.1,100.0,0.002025993493035774,0.0010052575036445105,6.773057478382514e-07
24.0,1.0,0.2,200.0,0.0009776945083792266,0.0010768447711086478,-4.7067966397655525e-05
25.0,0.6,0.4,240.0,0.001260334127224585,0.0010215058800209372,-0.00024975797214290326
26.0,0.6,0.8,480.0,0.0016301836954172935,0.000980230681231617,-0.00023063764893412254
27.0,0.2,0.8,160.00000000000003,0.023660255164345837,9.074761962999962e-05,-8.648140995637964e-05
28.0,0.4,0.4,160.00000000000003,0.029831138688234247,9.35915471030409e-05,0.008406532718060616
1.0,0.6,0.4,240.0,0.0003093124198368407,0.0002145073040944084,-5.2973468362599906e-05
2.0,0.2,0.8,160.00000000000003,0.0002812194402249495,5.496020390787209e-05,-3.039050218479001e-05
3.0,0.2,0.4,80.00000000000001,0.0005139655008544464,5.942684182514682e-05,-2.332326528828079e-05
4.0,1.2,0.8,960.0,0.0004864741702520323,0.0018096011279507451,-3.6304855961213946e-05
5.0,0.4,0.8,320.00000000000006,0.000420617536290807,0.00015125805808753615,-5.3134974162360476e-05
6.0,0.8,0.1,80.00000000000001,0.0004583635790292688,5.467455835529451e-05,-2.9514526660689532e-05
7.0,1.0,0.1,100.0,0.0005217472980365573,6.846659737464724e-05,-3.6148923018373905e-05
8.0,1.0,0.4,400.0,0.0005172142379116793,0.00031203419181289205,-2.5345808545802385e-05
9.0,0.0,0.2,0.0,0.0004057901756066208,6.509896405801131e-06,-5.560016711887314e-05
10.0,0.8,0.4,320.00000000000006,0.000494264302850557,0.00025600416277325646,-4.257554277144217e-05
11.0,0.6,0.8,480.0,0.000497347366179285,0.00019728414825641424,-2.4733899298742504e-05
12.0,0.2,0.1,20.000000000000004,0.0003726103489472232,2.4872946929776644e-05,-5.6868603077281844e-05
13.0,1.2,0.4,480.0,0.0006790922839747706,0.00058978790446071,-6.29620992126263e-05
14.0,0.6,0.2,120.0,0.0008711208188432258,0.00013290224180536703,-5.509146834272706e-05
15.0,0.8,0.8,640.0000000000001,0.0008819472862357208,0.0002504761197250707,-6.793022628777718e-05
16.0,0.4,0.1,40.00000000000001,0.0003981766925128053,5.158478648160784e-05,2.613127666624885e-06
17.0,0.2,0.2,40.00000000000001,0.0012633073684024923,3.874513507322525e-05,-7.530148007985098e-05
18.0,0.6,0.1,60.0,0.0004082733052563335,5.280396440791066e-05,-4.6669073486461663e-07
19.0,1.0,0.2,200.0,0.0007333823118853748,0.0003284909105227814,-3.9216053974863626e-05
20.0,1.0,0.8,800.0,0.000644954067928449,0.0004712649155545292,-4.822961104615263e-05
21.0,1.2,0.1,120.0,0.0006071167037775742,0.00029174831222381916,-2.4964878702722486e-05
22.0,1.2,0.2,240.0,0.0006180209924162264,0.0003923266066650293,-3.33325769313433e-05
23.0,0.0,0.8,0.0,0.0004007618463599679,2.7610188598245313e-06,-6.039342287105496e-05
24.0,0.0,0.4,0.0,0.0006084952507158109,5.931271156268381e-06,-3.529426945978962e-05
25.0,0.4,0.2,80.00000000000001,0.00045671013748842975,5.370133818757101e-05,-3.8640762604786275e-05
26.0,0.8,0.2,160.00000000000003,0.0007107747383232519,0.0001747534776515374,-2.0663336501389997e-05
27.0,0.0,0.1,0.0,0.0006102005629789887,2.7679158987655137e-06,-1.4103680747113555e-05
28.0,0.4,0.4,160.00000000000003,0.0004990991778367515,0.00010738634801360611,-5.1564905294871805e-05
1.0,0.4,0.4,160.00000000000003,0.0027008984659125583,8.564796038592378e-07,-0.0004038035177838798
2.0,0.0,0.8,0.0,0.002875255668989319,1.0640557300881186e-06,-0.00023125823451492118
3.0,0.0,0.4,0.0,0.0020474559661938833,9.382288134261725e-07,0.0001392840244322115
4.0,1.0,0.8,800.0,0.0019501273241325865,1.1259524987977714e-06,-0.00031956144057084483
5.0,0.2,0.8,160.00000000000003,0.001974427995836565,9.996052347334323e-07,0.0005408046088259807
6.0,1.2,0.4,480.0,0.0025188926221141753,1.9932703073018436e-06,0.00021306933863886004
7.0,0.6,0.1,60.0,0.0017720758369898088,1.1196608217552905e-06,-0.00020177089634285493
8.0,0.8,0.1,80.00000000000001,0.002449305595776645,1.1007035621449514e-06,-7.80894720789447e-05
9.0,1.2,0.1,120.0,0.0016950715250654488,1.3267164355664312e-06,1.977999468284579e-05
10.0,0.8,0.4,320.00000000000006,0.001199425029922959,2.2277928676579868e-06,3.127215721531929e-06
11.0,0.6,0.4,240.0,0.0025131720742721363,1.5670257838622148e-06,-0.00024280765869926025
12.0,0.4,0.8,320.00000000000006,0.0019648472367542794,9.860963954301336e-07,-0.0002960173952126353
13.0,0.0,0.1,0.0,0.0019429792250115604,7.268766252147454e-07,0.0004561652623640387
14.0,1.0,0.4,400.0,0.0024565759019729723,2.2226279726912017e-06,0.0004042228734029003
15.0,0.4,0.2,80.00000000000001,0.002185452604591404,9.577959915311108e-07,-8.183945094446108e-05
16.0,0.6,0.8,480.0,0.00201599491404284,1.0289885045196833e-06,5.684157951548833e-06
17.0,0.2,0.1,20.000000000000004,0.001987556072751901,1.063232367070346e-06,-0.00015910833870015346
18.0,0.0,0.2,0.0,0.002316540776040668,9.266910812524451e-07,-5.874570837015413e-05
19.0,0.4,0.1,40.00000000000001,0.0018678375413855573,1.0543184374759206e-06,0.0002155363501185675
20.0,0.8,0.2,160.00000000000003,0.0019151955203492446,1.0313624558294535e-06,0.00016788879223795554
21.0,0.8,0.8,640.0000000000001,0.004145190388236035,1.2219409328351016e-06,-3.7189528241806036e-05
22.0,1.0,0.1,100.0,0.0024322172060046643,1.7562403532310125e-06,0.0002719974046197714
23.0,1.0,0.2,200.0,0.00370738816611077,1.0944958702502308e-06,-0.00040118636106621327
24.0,0.2,0.2,40.00000000000001,0.002623527733038933,1.118162661515232e-06,9.244040262195351e-05
25.0,0.6,0.2,120.0,0.003201131102059475,7.889859142170533e-07,0.0001045731850143391
26.0,1.2,0.8,960.0,0.002581283992999928,1.0529881069368038e-06,-9.849442292028981e-05
27.0,1.2,0.2,240.0,0.0031577838181960135,9.92044307212022e-07,0.00018013976566355603
28.0,0.2,0.4,80.00000000000001,0.0031659527110232863,9.649560071770058e-07,-0.0003233820230781673
